"trial_num","choice1","choice2","state","pos1","pos2","rts1","rts2","money","stim1.ons.sl","stim1.ons.ms","stim2.ons.sl","stim2.ons.ms","choice1.ons.sl","choice1.ons.ms","choice2.ons.sl","choice2.ons.ms","rew.ons.sl","rew.ons.ms","id"
106,2,2,2,1,0,0.407214515609667,0.45178786739416,1,47581.1629140973,47581.1525292099,51583.5108580738,51583.5016680062,48003.7431799471,48003.7366898954,52043.6403391212,52043.6335638613,55585.5739293844,55585.5638393164,"00829"
107,1,2,2,1,1,0.367250412746216,0.907827305709361,0,57092.8962679654,57092.8879730999,61095.2408119142,61095.230616644,57475.6820702404,57475.6744801849,62011.5080420524,62011.5016368032,65097.4337194711,65097.4240941852,"00829"
108,1,1,2,0,0,1.35922831960488,1.13989196742477,0,66605.4784986228,66605.469183743,70608.1884103119,70608.1774154156,67979.4387702942,67979.4311002493,71755.4114532769,71755.4048380256,74610.2682421356,74610.2584120631,"00829"
109,2,2,2,1,0,0.607103339920286,0.530460588430287,0,76116.546837166,76116.5380623043,80129.5781014264,80129.5693913549,76739.1639681011,76739.1566480547,80674.8701989502,80674.8633989096,84131.6480179876,84131.6385478973,"00829"
110,2,2,3,0,1,0.998499711087788,0.723016091913451,0,85645.1588112712,85645.1496511847,89647.551235199,89647.5416451246,86659.1271030009,86659.1203129441,90378.9359562844,90378.9289262146,93649.6592720598,93649.6498972028,"00829"
111,1,2,2,1,1,1.87035364277835,0.363195268670097,1,95156.9961307645,95156.9880107045,99159.3675797284,99159.3576496542,97042.8307226449,97042.8227925748,99531.0998087972,99531.090163514,103161.469761744,103161.460141674,"00829"
112,1,2,2,1,1,0.854115762878791,0.562123295909259,0,104668.867110923,104668.858550861,108673.601773605,108673.593443543,105538.466122523,105538.459072471,109258.463787705,109258.45701766,112675.701270401,112675.691565529,"00829"
113,2,1,3,1,0,0.734280457341811,0.787040284223622,0,114180.667800128,114180.658230066,118183.075414598,118183.066264525,114930.437128291,114930.429668233,118978.499882802,118978.493007928,122185.153121218,122185.143631145,"00829"
114,2,1,2,1,0,0.742544462584192,1.25074153381865,0,123692.526860207,123692.517584935,127694.95973447,127694.94947958,124450.534514263,124450.527739018,128954.103122815,128954.09563756,131705.727580622,131705.718875751,"00829"
115,2,2,2,1,1,1.14943361855694,0.705819704453461,0,133221.054958433,133221.046103165,137223.486722693,137223.478192627,134386.022412971,134386.014852911,137937.959343672,137937.951923609,141226.084808677,141226.076308608,"00829"
116,2,2,3,0,0,0.741732382783084,0.569678260522778,0,142732.910058066,142732.901767999,146735.333102658,146735.323572591,143490.157916054,143490.151271209,147313.808740467,147313.800705209,150737.479299828,150737.469539747,"00829"
117,1,1,2,1,1,1.29315183310246,0.89007842852152,0,152244.773718178,152244.765058115,156247.391773924,156247.381753847,153553.871690959,153553.863145709,157145.663790107,157145.656240046,160249.574476585,160249.564206511,"00829"
118,2,1,3,1,1,0.837579217026359,1.15403335537121,1,161756.60664764,161756.597557575,165759.069437355,165759.060102478,162609.700482398,162609.692877531,166921.437536299,166921.430116236,169761.250279993,169761.240429908,"00829"
119,2,1,3,1,1,0.7255175672326,1.81013870421157,1,171268.474097788,171268.465012521,175270.961322486,175270.951382414,172009.475715801,172009.468735754,177089.401870012,177089.394809961,179274.816338524,179274.805558443,"00829"
120,2,1,3,0,0,1.17403127535363,1.09019363464904,0,180780.268962145,180780.260302082,184782.754272029,184782.743981957,181969.950859591,181969.939569503,185881.285830289,185881.278575018,188784.978029817,188784.969174549,"00829"
121,2,2,3,1,1,0.717542743426748,0.762222495672177,0,190293.654119238,190293.645283952,194296.175844193,194296.166944131,191025.173556179,191025.166466117,195065.171386153,195065.15809606,198298.364081711,198298.355431631,"00829"
122,2,1,3,0,0,1.14986779683386,1.2343033823272,1,199804.199413583,199804.189808324,203806.721498564,203806.71197848,200969.328279421,200969.321729362,205049.07928744,205049.072022572,207812.547605187,207812.53864029,"00829"
123,2,1,3,0,0,0.285614748019725,1.17845375921752,1,209315.912792102,209315.902627215,213318.500042796,213318.4894979,209616.939540312,209616.932525456,214505.065200523,214505.057995245,217320.758180857,217320.748950794,"00829"
124,1,2,2,0,1,0.709791583081824,0.698550231507397,0,218827.653161228,218827.643911153,222830.41064328,222830.394693151,219552.941653535,219552.934528276,223537.008910865,223537.001760811,226832.636725888,226832.627075806,"00829"
125,2,1,2,0,1,0.661588045812096,0.674253171921009,0,228341.204194427,228341.195049554,232343.735024676,232343.7249946,229016.600987598,229016.59356755,233024.572201386,233024.564751312,236345.988437891,236345.97847262,"00829"
126,2,2,3,0,0,0.877265217655804,1.05823201895691,0,237851.403071225,237851.394145951,241853.918261349,241853.908121273,238744.370999768,238744.362824902,242920.389777914,242920.383263066,245856.616572931,245856.606847644,"00829"
127,1,2,2,1,1,1.5256946534646,0.633871118858224,0,247363.206575647,247363.198145583,251365.765610918,251365.755806044,248904.384535074,248904.376955003,252008.184010267,252008.176570207,255368.019788951,255368.010034069,"00829"
